popularity,title,artist,bpm,enrgy,danceability,liveness,duration
popular,You Lost Me,Christina Aguilera,43,39,23,14,257
popular,1+1,BeyoncÈ,63,38,30,7,274
popular,Baby,Justin Bieber,65,86,73,11,214
popular,Praying,Kesha,73,39,58,11,230
popular,Jar of Hearts,Christina Perri,75,35,35,12,247
popular,Let Her Go,Passenger,75,54,51,10,253
popular,Tee Shirt - Soundtrack Version,Birdy,76,34,68,9,160
popular,I Knew You Were Trouble.,Taylor Swift,77,47,62,3,220
popular,Mirrors - Radio Edit,Justin Timberlake,77,60,58,43,277
popular,Steal My Girl,One Direction,77,76,47,14,227
popular,Ferrari,Bebe Rexha,77,48,58,10,213
popular,American Oxygen,Rihanna,78,75,39,33,320
popular,Thinking out Loud,Ed Sheeran,79,45,78,18,282
popular,Dear Future Husband,Meghan Trainor,79,78,66,32,184
popular,Ghosttown,Madonna,79,55,54,12,250
popular,Castle Walls (feat. Christina Aguilera),T.I.,80,86,45,26,329
popular,Cheers (Drink To That),Rihanna,80,91,58,29,262
popular,Castle Walls (feat. Christina Aguilera),T.I.,80,86,45,26,329
popular,We Can't Stop,Miley Cyrus,80,62,61,37,231
popular,Come & Get It,Selena Gomez,80,79,55,10,232
popular,See You Again (feat. Charlie Puth),Wiz Khalifa,80,48,69,6,230
popular,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,81,67,61,17,289
popular,The Way,Ariana Grande,82,88,65,8,227
popular,Wiggle (feat. Snoop Dogg),Jason Derulo,82,62,70,16,193
popular,I'm Not The Only One,Sam Smith,82,49,68,8,239
popular,Trumpets,Jason Derulo,82,70,63,10,217
popular,Change,Christina Aguilera,82,54,62,13,187
popular,Walk On Water (feat. BeyoncÈ),Eminem,82,44,48,64,304
popular,Wings,Birdy,83,71,47,16,252
popular,The Heart Wants What It Wants,Selena Gomez,83,79,62,14,227
popular,Treat You Better,Shawn Mendes,83,82,44,11,188
popular,I'm Into You,Jennifer Lopez,84,75,59,8,200
popular,Beneath Your Beautiful,Labrinth,84,52,56,10,272
popular,Stay With Me,Sam Smith,84,42,42,11,173
popular,Hall of Fame,The Script,85,87,42,12,203
popular,Crying in the Club,Camila Cabello,85,62,33,16,216
popular,We Are Never Ever Getting Back Together,Taylor Swift,86,68,63,12,193
popular,We Are Never Ever Getting Back Together,Taylor Swift,86,68,63,12,193
popular,Not a Bad Thing,Justin Timberlake,86,73,59,38,266
popular,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,86,73,60,33,193
popular,Beautiful Birds (feat. Birdy),Passenger,86,17,39,11,214
popular,Slow Hands,Niall Horan,86,42,74,6,188
popular,Tequila,Dan + Shay,86,59,47,13,196
popular,Love The Way You Lie,Eminem,87,93,75,52,263
popular,Made In The USA,Demi Lovato,87,86,58,32,196
popular,Burn,Ellie Goulding,87,78,56,11,231
popular,Body Say,Demi Lovato,87,74,63,28,194
popular,Free Me,Sia,87,46,27,14,286
popular,Him & I (with Halsey),G-Eazy,88,73,59,31,269
popular,Bloodstream,Ed Sheeran,89,59,48,6,309
popular,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,90,80,65,27,211
popular,Kiss You,One Direction,90,93,63,32,183
popular,All We Know,The Chainsmokers,90,59,66,12,194
popular,Cheap Thrills,Sia,90,80,59,8,225
popular,Pep Rally,Missy Elliott,90,75,83,20,263
popular,First Time,Kygo,90,59,63,10,194
popular,Sick Boy,The Chainsmokers,90,58,66,12,193
popular,First Time,Kygo,90,59,63,10,194
popular,Written in the Stars (feat. Eric Turner),Tinie Tempah,91,95,64,18,220
popular,Written in the Stars (feat. Eric Turner),Tinie Tempah,91,95,64,18,220
popular,Only Love Can Hurt Like This,Paloma Faith,91,89,57,33,233
popular,One Call Away (feat. Tyga) - Remix,Charlie Puth,91,69,75,13,192
popular,Memories,Maroon 5,91,32,76,8,189
popular,Imma Be,The Black Eyed Peas,92,52,60,31,258
popular,Diamonds,Rihanna,92,71,56,11,225
popular,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr‰ter,Charli XCX,92,81,68,34,169
popular,Cannonball,Lea Michele,92,82,56,19,215
popular,Work,Rihanna,92,53,73,9,219
popular,NO,Meghan Trainor,92,80,56,74,214
popular,Out Of The Woods,Taylor Swift,92,84,55,34,236
popular,These Days,Rudimental,92,81,65,17,211
popular,Want To,Dua Lipa,92,69,57,6,212
popular,Empire State of Mind (Part II) Broken Down,Alicia Keys,93,37,48,12,216
popular,One More Night,Maroon 5,93,82,72,8,220
popular,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,93,81,55,15,271
popular,Jealous - Remix,Nick Jonas,93,71,68,44,222
popular,We Are Here,Alicia Keys,93,67,64,8,285
popular,Cold Water (feat. Justin Bieber & Mÿ),Major Lazer,93,80,61,16,185
popular,I Feel It Coming,The Weeknd,93,82,77,7,269
popular,Familiar,Liam Payne,93,81,64,8,197
popular,Beautiful People (feat. Khalid),Ed Sheeran,93,65,64,8,198
popular,No Guidance (feat. Drake),Chris Brown,93,45,70,16,261
popular,Love On Top,BeyoncÈ,94,75,65,60,267
popular,Just Canít Get Enough,The Black Eyed Peas,94,63,66,11,219
popular,My House,Flo Rida,94,70,69,13,192
popular,Wish That You Were Here - From ìMiss Peregrineís Home for Peculiar Childrenî Original Motion Picture,Florence + The Machine,94,57,37,13,403
popular,ReggaetÛn Lento (Remix),CNCO,94,91,53,10,189
popular,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,94,69,73,10,221
popular,Only Human,Jonas Brothers,94,50,80,6,183
popular,Con Calma - Remix,Daddy Yankee,94,87,74,4,181
popular,Good Life,OneRepublic,95,69,63,13,253
popular,Just Give Me a Reason (feat. Nate Ruess),P!nk,95,55,78,13,243
popular,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,95,53,78,5,236
popular,Next To Me,Emeli SandÈ,95,80,67,11,197
popular,Outta Nowhere (feat. Danny Mercer),Pitbull,95,84,71,21,207
popular,Fancy,Iggy Azalea,95,72,91,5,200
popular,Don't,Ed Sheeran,95,61,81,64,220
popular,Company,Justin Bieber,95,80,59,8,208
popular,Company,Justin Bieber,95,80,59,8,208
popular,Closer,The Chainsmokers,95,52,75,11,245
popular,Water Under the Bridge,Adele,95,84,60,11,240
popular,Perfect Duet (Ed Sheeran & BeyoncÈ),Ed Sheeran,95,30,59,12,260
popular,Lemon,N.E.R.D,95,73,92,12,220
popular,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,95,79,75,7,206
popular,This Is How We Do,Katy Perry,96,64,69,15,204
popular,I Luh Ya Papi,Jennifer Lopez,96,73,74,12,207
popular,Shape of You,Ed Sheeran,96,65,83,9,234
popular,Shallow - Radio Edit,Lady Gaga,96,33,57,9,217
popular,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,96,89,67,74,159
popular,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,96,80,84,6,213
popular,"Hey, Soul Sister",Train,97,89,67,8,217
popular,Boyfriend,Justin Bieber,97,55,72,13,171
popular,Scars To Your Beautiful,Alessia Cara,97,74,57,11,230
popular,IDGAF,Dua Lipa,97,54,84,8,218
popular,Say Something,Justin Timberlake,97,63,71,8,279
popular,Filthy,Justin Timberlake,97,58,75,25,294
popular,Muny - Album Version (Edited),Nicki Minaj,98,72,80,19,227
popular,Same Old Love,Selena Gomez,98,59,67,21,229
popular,I Got You,Bebe Rexha,98,89,61,9,192
popular,Behind Your Back,Nelly Furtado,98,47,80,7,228
popular,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,98,67,67,12,204
popular,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,98,62,86,9,204
popular,Alejandro,Lady Gaga,99,80,63,36,274
popular,Best Thing I Never Had,BeyoncÈ,99,65,55,9,254
popular,Love Me Harder,Ariana Grande,99,71,47,8,236
popular,Love,Lana Del Rey,99,37,53,11,273
popular,Don't Call Me Up,Mabel,99,88,67,8,178
popular,Tonight Tonight,Hot Chelle Rae,100,78,69,16,200
popular,What's My Name?,Rihanna,100,79,69,8,263
popular,"Hold On, We're Going Home",Drake,100,41,77,7,228
popular,Lose Yourself to Dance,Daft Punk,100,66,83,8,354
popular,What About Love,Austin Mahone,100,78,63,4,203
popular,Team,Lorde,100,58,69,31,193
popular,Talk Dirty (feat. 2 Chainz),Jason Derulo,100,65,76,31,178
popular,Love Yourself,Justin Bieber,100,38,61,28,234
popular,Sorry,Justin Bieber,100,76,65,30,201
popular,Worth It,Fifth Harmony,100,77,88,12,225
popular,Focus,Ariana Grande,100,88,67,44,211
popular,Alive,Sia,100,76,51,11,264
popular,Perfect,One Direction,100,82,65,12,230
popular,Baby Don't Lie,Gwen Stefani,100,55,69,10,203
popular,Love Yourself,Justin Bieber,100,38,61,28,234
popular,Starving,Hailee Steinfeld,100,62,73,11,182
popular,Roses,The Chainsmokers,100,80,71,31,227
popular,Wherever I Go,OneRepublic,100,69,55,27,170
popular,Let Me Love You,DJ Snake,100,72,65,14,206
popular,It Ain't Me (with Selena Gomez),Kygo,100,53,64,9,221
popular,Paris,The Chainsmokers,100,64,65,9,222
