danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,explicit,popularity,track_name,track_artist,track_id
0,2.02E-03,10,-14.998,1,0,0.0432,0.000625,36.2,0,0,104.046,104.046,FALSE,0,Erupting Steam,Pink Noise Therapy,30XyZ2JBuSYmow6nLJttjF
0,2.03E-01,1,-10.939,1,0,0.108,0.244,74.1,0,0,175,175,FALSE,0,Abrupt Static,Pink Noise Therapy,23EbApGR76sRrsWdHVgMtO
0,2.00E-03,0,-24.587,0,0,0.129,0.389,30.5,0,0,225,225,FALSE,0,Simple Times,Pink Noise Therapy,2JLGHMWZ3Owfu9CqucdYSd
0,1.98E-03,9,-37.88,0,0,0.962,1,96.8,0,0,215,215,FALSE,0,Calming Hiss,Pink Noise Therapy,3xBqBVQ2qbJEsLpE6DzDZp
0,1.70E-01,0,-32.706,1,0,0.284,0.997,14.9,0,0,123.75,123.75,FALSE,0,Rumble,Pink Noise Therapy,2EgkYWzfsXGtJBx5X1nIQf
0,1.97E-03,9,-13.713,0,0,0.202,0.997,43.9,0,0,194,194,FALSE,0,Relaxing Pink Noise,Pink Noise Therapy,4QC0OMpsSTRmRJUpwOhQC5
0,5.35E+00,0,-19.857,1,0,0.95,0.999,24.1,0,0,210.798,210.798,FALSE,0,Computer Noise,Pink Noise Therapy,0r9vn0fGklxVjnpIomqIcS
0,1.87E-02,10,-30.175,0,0,0.792,1,95,0,0,215,215,FALSE,8,Extractor Vent,Pink Noise Therapy,3kxjAmuEHCCKkk6X59JkXZ
0,2.74E-03,5,-37.327,1,0,0.376,1,11.1,0,0,64,64,FALSE,0,Calmness,Pink Noise Therapy,4JwJFRM14ELWop29YA8TUx
0,2.20E-02,0,-40.939,0,0,0.132,0.326,11.2,0,0,277,277,FALSE,0,Oscillator,Pink Noise Therapy,4lGyqNQXT7UBgWvn00QgGG
0,2.80E-02,1,-13.934,1,0,0.838,0.717,9.63,0,0,158.4,158.4,FALSE,0,Outer Space Static,Pink Noise Therapy,3YOIbkz43C0WjhYIw8M96Q
0,4.32E+01,2,-15.576,1,0,0.704,0.000118,75,0,0,179.424,179.424,FALSE,0,Sleepy Sunrise,Nature Sound Series,5VcA6vs4WYKgMXMegR0908
0,2.02E-03,9,-8.17,0,0,0.00853,0.000102,10.5,0,0,1949.34,1949.34,FALSE,0,8:40,Coral Thief,1No71MfbRmMnBvVb7hvqoI
28.3,2.00E+01,0,-20.731,0,0.0415,0.777,0.91,10.6,0.0357,38.569,85.907,85.907,FALSE,0,The Finale,Danny Elfman,1SH2efCd49xqpbDks0ZjMI
79.2,5.46E+01,11,-10.951,0,0.893,0.69,0,13.6,0.825,42.933,17.951,17.951,FALSE,0,Interlude Barrera),Dj Teddy,08HKquz6As2bg0kSAqPUZm
47.6,2.06E+00,3,-26.315,0,0.0363,0.891,0.886,10.7,0.0341,43.598,128,128,FALSE,0,Restful Repose,Meditative Zen,4td33IAsi9kWl7b6NgATly
54.9,4.49E+01,8,-18.07,1,0.953,0.607,0,37.5,0.405,47.788,292.307,292.307,FALSE,0,Go Go Boots,Vickie Winans,5YwaeFiUmjLryxFbai4jTH
37,5.81E+01,2,-18.795,0,0.93,0.987,0.000104,78.5,0.4,48.683,192.838,192.838,TRUE,1,"Big Balls, Head, and Pills",Melanie Comarcho,3LI3nmkNu3IbmzaTbXRqlh
22.3,1.36E+01,0,-17.033,1,0.0416,0.975,5.66E-06,17.8,0.0455,49.631,132,132,FALSE,0,Happy Place,Pink Noise Therapy,0x3RlMDij9M46IB2biwVVS
16.3,3.04E+00,11,-28.394,0,0.0342,0.139,0.0554,10.9,0.0393,51.206,168.026,168.026,FALSE,1,"Meanwhile, 450 Years Later",Harry Manfredini,54idJCT2M0wzJwIVzad5XH
25.6,1.82E+01,5,-20.246,0,0.0391,0.959,0.694,43.4,0.0328,51.721,181.909,181.909,FALSE,0,Enlightening Tidal Surge,Ocean Waves For Sleep,69klo2AMpzzz7l4dIBuI5A
6.26,3.32E+00,0,-29.899,1,0.045,0.831,0.742,32.7,0.0981,51.902,205.593,205.593,FALSE,0,Sacred Seawater,Ocean Waves For Sleep,6h3fUiT7dQAdCSEfb3m86B
32.6,5.10E+01,2,-8.53,1,0.0626,0.778,1.47E-06,26.8,0.718,52.354,171.12,171.12,FALSE,0,Mother-in-Law Blues,Hope Waits,0D5suIIuVZ4RWdemj78Xsv
62.8,6.76E+01,10,-9.134,1,0.516,0.237,0,19.2,0.135,54.212,125.127,125.127,TRUE,0,All Blazk Hoodie,DB MONEYCRAZY,1tHW7oQBJt3VPRjqsZaP5G
41.4,1.49E+01,0,-14.464,1,0.0616,0.905,2.84E-06,10.1,0.109,55.094,230.587,230.587,FALSE,0,Cuidándote,Bebe,5pFNwxnBtwnOGV58olzURY
6.24,5.55E+00,5,-29.344,1,0.0405,0.783,0.843,48.6,0.0389,55.7,356.616,356.616,FALSE,0,Mediterranean Ripple,Ocean Waves For Sleep,2gcNZEPAJ7MypRJzYCqflN
13.8,5.62E+00,3,-20.637,1,0.0445,0.978,0.935,12.7,0.0306,56.037,334.028,334.028,FALSE,1,where there's life,Zella Rae,5OwW0m4AOdAFOH46FTANdy
71.3,6.33E+01,1,-6.106,1,0.377,0.123,0,8.96,0.175,56.257,170.005,170.005,TRUE,0,im Hot in My Cityyy,Pookiegg,4XpJheB4yJHixgz0FJ5zfS
6.25,5.88E+00,0,-25.483,1,0.0557,0.993,0.893,10.8,0.0319,56.287,184,184,FALSE,0,A Moment of Serenity,Meditative Zen,2luXIThi48DjeOelDeyl0C
