danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,title
0.317,0.512,6,-9.92,1,0.0363,0.0785,0.543,0.129,0.203,79.995,audio_features,2wuE0xt20E6cB4PAXOmE5v,spotify:track:2wuE0xt20E6cB4PAXOmE5v,https://api.spotify.com/v1/tracks/2wuE0xt20E6cB4PAXOmE5v,https://api.spotify.com/v1/audio-analysis/2wuE0xt20E6cB4PAXOmE5v,120120,3,,
0.609,0.232,6,-11.989,1,0.0272,0.417,0.0187,0.107,0.27,79.821,audio_features,5tuBenbZ1Or9xENTyOKoGC,spotify:track:5tuBenbZ1Or9xENTyOKoGC,https://api.spotify.com/v1/tracks/5tuBenbZ1Or9xENTyOKoGC,https://api.spotify.com/v1/audio-analysis/5tuBenbZ1Or9xENTyOKoGC,226507,3,,
0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,audio_features,2TktkzfozZifbQhXjT6I33,spotify:track:2TktkzfozZifbQhXjT6I33,https://api.spotify.com/v1/tracks/2TktkzfozZifbQhXjT6I33,https://api.spotify.com/v1/audio-analysis/2TktkzfozZifbQhXjT6I33,216680,3,,
0.327,0.452,9,-9.726,1,0.0277,0.344,0.00332,0.11,0.202,132.427,audio_features,4qG7hWhljsqqENL5PaLA2z,spotify:track:4qG7hWhljsqqENL5PaLA2z,https://api.spotify.com/v1/tracks/4qG7hWhljsqqENL5PaLA2z,https://api.spotify.com/v1/audio-analysis/4qG7hWhljsqqENL5PaLA2z,278126,4,,
0.464,0.299,5,-11.424,1,0.0275,0.105,0.261,0.0911,0.116,95.548,audio_features,0uphGVj1uIticJK6gb2WnO,spotify:track:0uphGVj1uIticJK6gb2WnO,https://api.spotify.com/v1/tracks/0uphGVj1uIticJK6gb2WnO,https://api.spotify.com/v1/audio-analysis/0uphGVj1uIticJK6gb2WnO,201120,3,,
0.55,0.548,7,-7.873,0,0.0247,0.154,0.0776,0.102,0.412,111.454,audio_features,6TPTnROcnJQXuAyRDw2qfu,spotify:track:6TPTnROcnJQXuAyRDw2qfu,https://api.spotify.com/v1/tracks/6TPTnROcnJQXuAyRDw2qfu,https://api.spotify.com/v1/audio-analysis/6TPTnROcnJQXuAyRDw2qfu,244307,4,,
0.538,0.304,9,-11.79,1,0.0352,0.613,0.000631,0.164,0.065,78.997,audio_features,4qUtC2BwFC154Ha8YQRrkk,spotify:track:4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/tracks/4qUtC2BwFC154Ha8YQRrkk,https://api.spotify.com/v1/audio-analysis/4qUtC2BwFC154Ha8YQRrkk,228071,3,,
0.74,0.072,3,-17.984,1,0.0713,0.981,0.00698,0.111,0.297,139.081,audio_features,2QzKAF0y1BQhxwg8N05Uog,spotify:track:2QzKAF0y1BQhxwg8N05Uog,https://api.spotify.com/v1/tracks/2QzKAF0y1BQhxwg8N05Uog,https://api.spotify.com/v1/audio-analysis/2QzKAF0y1BQhxwg8N05Uog,143080,4,,
0.678,0.64,9,-7.486,1,0.0268,0.283,0.00067,0.682,0.701,90.058,audio_features,3SeDS5sSoWnwAZvVgkdKzf,spotify:track:3SeDS5sSoWnwAZvVgkdKzf,https://api.spotify.com/v1/tracks/3SeDS5sSoWnwAZvVgkdKzf,https://api.spotify.com/v1/audio-analysis/3SeDS5sSoWnwAZvVgkdKzf,155500,4,,
0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,audio_features,2fhOljbX79loRcdl47SFye,spotify:track:2fhOljbX79loRcdl47SFye,https://api.spotify.com/v1/tracks/2fhOljbX79loRcdl47SFye,https://api.spotify.com/v1/audio-analysis/2fhOljbX79loRcdl47SFye,422613,4,,
